Episode,AvgProfit,WinRate,Epsilon,Fold%,Call%,Raise%
37700,113.0,65.0,0.2875,0.0,53.9,46.1
37800,193.1,63.0,0.2866,1.7,51.3,47.1
37900,53.4,54.0,0.2856,0.8,55.9,43.2
38000,126.2,59.0,0.2847,0.0,56.2,43.8
38100,122.6,56.0,0.2838,0.0,62.3,37.7
38200,176.4,64.0,0.2829,0.8,47.9,51.2
38300,82.5,58.0,0.2819,0.8,53.4,45.8
38400,160.1,62.0,0.2811,0.9,55.0,44.0
38500,155.3,61.0,0.2802,0.0,49.6,50.4
38600,188.9,57.0,0.2793,0.9,62.9,36.2
38700,144.2,63.0,0.2784,0.8,55.9,43.3
38800,-90.7,63.0,0.2775,0.9,54.4,44.7
38900,174.9,54.0,0.2766,1.7,53.8,44.4
39000,120.0,60.0,0.2757,0.9,52.1,47.0
39100,29.0,52.0,0.2749,0.0,55.0,45.0
39200,161.2,61.0,0.2740,1.6,53.3,45.1
39300,-40.8,41.0,0.2731,1.7,55.4,43.0
39400,0.6,62.0,0.2722,0.9,42.7,56.4
39500,164.7,64.0,0.2713,0.0,54.7,45.3
39600,143.2,59.0,0.2705,1.7,47.9,50.4
39700,119.5,60.0,0.2696,0.0,50.8,49.2
39800,121.8,65.0,0.2688,1.8,55.3,43.0
39900,-14.7,56.0,0.2679,0.0,52.5,47.5
40000,120.5,69.0,0.2671,0.9,57.8,41.4
40100,-7.5,54.0,0.2662,0.0,60.0,40.0
40200,20.7,57.0,0.2654,0.0,51.7,48.3
40300,57.5,61.0,0.2645,1.7,50.0,48.3
40400,177.5,64.0,0.2637,1.8,50.0,48.2
40500,81.0,57.0,0.2629,0.9,51.3,47.9
40600,131.4,65.0,0.2621,0.0,58.6,41.4
40700,63.0,61.0,0.2613,0.0,56.9,43.1
40800,29.1,49.0,0.2604,0.8,52.9,46.2
40900,395.1,68.0,0.2596,0.0,52.0,48.0
41000,-49.2,54.0,0.2587,0.8,55.5,43.7
41100,216.1,63.0,0.2579,0.8,57.1,42.0
41200,116.9,59.0,0.2571,0.0,56.3,43.7
41300,-29.1,55.0,0.2562,0.8,51.6,47.6
41400,77.8,55.0,0.2555,0.0,49.5,50.5
41500,179.6,60.0,0.2547,0.0,48.7,51.3
41600,207.2,63.0,0.2539,0.8,55.5,43.7
41700,28.6,59.0,0.2530,1.6,53.2,45.2
41800,90.7,63.0,0.2522,0.8,51.6,47.5
41900,28.2,60.0,0.2514,1.6,52.5,45.9
42000,185.8,68.0,0.2506,2.6,57.3,40.2
